CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1685647,16000075664,201675664,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/03/2016 12:55:06 AM,MERIDIAN AV N / N 45 ST,B,B3,5100.1021,-122.33372,47.661385,"(47.661385, -122.33372)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 11:03:26 PM
1685649,16000075593,201675593,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/03/2016 12:54:45 AM,BROAD ST / DENNY WY,Q,Q3,7200.3004,-122.35036,47.61858,"(47.61858, -122.35036)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 09:24:10 PM
1685644,16000075310,201675310,073,AUTO RECOVERY,AUTO RECOVERIES,AUTO THEFTS,03/03/2016 12:47:39 AM,46XX BLOCK OF S AUSTIN ST,S,S2,11101.3001,-122.27399,47.534706,"(47.534706, -122.27399)",AUTO RECOVERY,AUTO THEFTS,AUTO RECOVERIES,03/02/2016 08:20:52 PM
1685643,16000075596,201675596,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/03/2016 12:46:44 AM,52XX BLOCK OF 22 AV NE,U,U1,4302.1002,-122.304405,47.667004,"(47.667004, -122.304405)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 11:22:22 PM
1685637,16000075681,201675681,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/03/2016 12:37:03 AM,5XX BLOCK OF NE RAVENNA BV,J,J3,3600.4000,-122.32268,47.676758,"(47.676758, -122.32268)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 11:25:25 PM
1685638,16000075656,201675656,186,"NARCOTICS, DRUG TRAFFIC LOITERING",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,03/03/2016 12:32:17 AM,WOODLAND PARK AV N / N 48 ST,B,B3,5000.1011,-122.344536,47.663578,"(47.663578, -122.344536)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,03/02/2016 10:52:35 PM
1685636,16000075626,201675626,161,TRESPASS,TRESPASS,TRESPASS,03/03/2016 12:28:17 AM,45XX BLOCK OF 12 AV NE,U,U2,5301.2007,-122.31539,47.662197,"(47.662197, -122.31539)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 10:19:37 PM
1685634,16000075669,201675669,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/03/2016 12:21:19 AM,44XX BLOCK OF CASCADIA AV S,R,R3,10100.2009,-122.28279,47.56349,"(47.56349, -122.28279)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 11:12:37 PM
1685627,16000075612,201675612,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 11:50:45 PM,60XX BLOCK OF FAUNTLEROY WY SW,W,W3,10600.2010,-122.38311,47.547535,"(47.547535, -122.38311)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 09:46:09 PM
1685628,16000075465,201675465,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,03/02/2016 11:47:38 PM,24XX BLOCK OF AIRPORT WY S,O,O1,9300.3078,-122.321396,47.581463,"(47.581463, -122.321396)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,03/02/2016 08:02:41 PM
1685618,16000075508,201675508,064,SHOPLIFT,THEFT,SHOPLIFTING,03/02/2016 11:38:13 PM,38XX BLOCK OF RAINIER AV S,R,R2,10100.5018,-122.289925,47.568882,"(47.568882, -122.289925)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/02/2016 08:21:55 PM
1686624,16000075666,201675666,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 11:30:17 PM,4XX BLOCK OF BROADWAY E,E,E1,7401.2004,-122.320915,47.62256,"(47.62256, -122.320915)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 11:08:28 PM
1685617,16000075633,201675633,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,03/02/2016 11:28:00 PM,66XX BLOCK OF CORSON AV S,O,O3,10900.1006,-122.32291,47.542942,"(47.542942, -122.32291)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 10:20:49 PM
1685546,16000075560,201675560,072,AUTO THEFT AND RECOVERY,AUTO RECOVERIES,AUTO THEFTS,03/02/2016 11:10:50 PM,7 AV NE / NE 53 ST,U,U1,4500.1011,-122.320694,47.667126,"(47.667126, -122.320694)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,03/02/2016 08:48:52 PM
1685577,16000075581,201675581,291,PERSON WITH A GUN,GUN CALLS,WEAPONS CALLS,03/02/2016 11:09:51 PM,LAKE WASHINGTON BV S / S ADAMS ST,R,R3,10100.1034,-122.26796,47.5653,"(47.5653, -122.26796)",ASLT - IP/JO - PERSON SHOT OR SHOT AT,ASSAULTS,GUN CALLS,03/02/2016 09:06:37 PM
1685578,16000075512,201675512,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 11:09:28 PM,NE 50 ST / 11 AV NE,U,U2,4400.4006,-122.31634,47.66493,"(47.66493, -122.31634)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 08:34:58 PM
1685537,16000075605,201675605,282,"SUSPICIOUS CIRCUMSTANCES - BUILDING (OPEN DOOR, ETC.)",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 11:07:51 PM,21XX BLOCK OF 23 AV S,R,R1,9400.3028,-122.302925,47.5841,"(47.5841, -122.302925)",BURG - IP/JO - RES (INCL UNOCC STRUCTURES),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 09:38:50 PM
1685539,16000075594,201675594,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,03/02/2016 10:58:38 PM,92XX BLOCK OF 25 AV SW,F,F2,11402.3001,-122.364555,47.520107,"(47.520107, -122.364555)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 09:14:50 PM
1685481,16000075436,201675436,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 10:50:29 PM,18XX BLOCK OF TERRY AV,D,D2,7300.2023,-122.33294,47.615883,"(47.615883, -122.33294)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 08:00:09 PM
1685542,16000075575,201675575,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,03/02/2016 10:47:07 PM,75XX BLOCK OF 23 AV NE,U,U1,2500.1028,-122.30293,47.683952,"(47.683952, -122.30293)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 09:29:12 PM
1685535,16000075617,201675617,041,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 10:46:08 PM,7XX BLOCK OF M L KING JR WY,G,G2,8800.2003,-122.29625,47.6085,"(47.6085, -122.29625)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 09:54:19 PM
1685538,16000075601,201675601,261,"ANIMAL NOISE, STRAYS, BITES",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,03/02/2016 10:45:57 PM,NE 125 ST / LAKE CITY WY NE,L,L3,100.5006,-122.295235,47.719276,"(47.719276, -122.295235)",ANIMAL - IP/JO - BITE,ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,03/02/2016 09:29:22 PM
1685541,16000075589,201675589,064,SHOPLIFT,THEFT,SHOPLIFTING,03/02/2016 10:45:16 PM,54XX BLOCK OF 15 AV NW,B,B1,4700.3020,-122.37621,47.668278,"(47.668278, -122.37621)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/02/2016 09:45:02 PM
1685545,16000075562,201675562,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 10:44:18 PM,27XX BLOCK OF BEACON AV S,R,R1,10002.1000,-122.31221,47.579292,"(47.579292, -122.31221)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 08:45:33 PM
1685540,16000075590,201675590,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 10:44:17 PM,42XX BLOCK OF GREENWOOD AV N,B,B2,4800.2019,-122.35546,47.65836,"(47.65836, -122.35546)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 10:13:45 PM
1685548,16000075520,201675520,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 10:42:37 PM,71XX BLOCK OF DELRIDGE WY SW,F,F1,10701.1012,-122.361015,47.53855,"(47.53855, -122.361015)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 08:32:47 PM
1685549,16000075519,201675519,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/02/2016 10:37:37 PM,15XX BLOCK OF N 115 ST,N,N2,600.4020,-122.33809,47.712303,"(47.712303, -122.33809)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 08:10:56 PM
1685479,16000075440,201675440,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 10:33:21 PM,WABASH AV S / CLOVERDALE PL S,S,S2,11800.6007,-122.26756,47.527706,"(47.527706, -122.26756)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 07:47:59 PM
1685536,16000075615,201675615,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 10:32:39 PM,17XX BLOCK OF SUMMIT AV,E,E1,7402.2004,-122.325554,47.61704,"(47.61704, -122.325554)",OVERDOSE - DRUG RELATED CASUALTY,PERSON DOWN/INJURY,CASUALTIES,03/02/2016 09:49:40 PM
1685547,16000075539,201675539,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 10:32:30 PM,S ANGEL PL / 39 AV S,S,S2,11101.4014,-122.283325,47.5446,"(47.5446, -122.283325)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 08:35:41 PM
1685551,16000075453,201675453,053,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,03/02/2016 10:31:56 PM,48XX BLOCK OF FAUNTLEROY WY SW,W,W2,10500.4008,-122.38146,47.558357,"(47.558357, -122.38146)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 09:04:15 PM
1685477,16000075472,201675472,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 10:28:49 PM,47XX BLOCK OF 26 AV SW,F,F1,9900.2019,-122.36551,47.55929,"(47.55929, -122.36551)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 07:17:54 PM
1685460,16000075470,201675470,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,03/02/2016 10:24:49 PM,73XX BLOCK OF EARL AV NW,J,J2,3100.4003,-122.39191,47.682205,"(47.682205, -122.39191)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 08:56:20 PM
1685489,16000075422,201675422,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 10:24:05 PM,13 AV / E PINE ST,C,C1,7500.2010,-122.31555,47.615273,"(47.615273, -122.31555)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 07:51:54 PM
1685476,16000075570,201675570,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 10:23:50 PM,11XX BLOCK OF JOHN ST,D,D3,7300.3013,-122.33506,47.61968,"(47.61968, -122.33506)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:23:45 PM
1685439,16000075588,201675588,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 10:14:01 PM,135XX BLOCK OF LINDEN AV N,N,N2,401.1008,-122.34773,47.728226,"(47.728226, -122.34773)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:13:49 PM
1685480,16000075437,201675437,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 10:09:32 PM,4XX BLOCK OF CEDAR ST,D,D2,7200.3000,-122.34742,47.618275,"(47.618275, -122.34742)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 09:38:09 PM
1685544,16000075571,201675571,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 10:06:34 PM,9XX BLOCK OF BOREN AV,E,E3,8300.1007,-122.324814,47.608982,"(47.608982, -122.324814)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 09:00:47 PM
1685400,16000075583,201675583,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 10:05:01 PM,BROADWAY / MADISON ST,E,E3,8400.2009,-122.32076,47.611168,"(47.611168, -122.32076)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:05:32 PM
1685408,16000075558,201675558,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 10:02:54 PM,15XX BLOCK OF 1 AV S,O,O1,9300.2047,-122.3342,47.58927,"(47.58927, -122.3342)",TRESPASS,TRESPASS,TRESPASS,03/02/2016 08:47:03 PM
1685500,16000075406,201675406,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 09:59:39 PM,WEST SEATTLE BR / WB,W,W1,9300.3138,-122.34951,47.571014,"(47.571014, -122.34951)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 06:19:13 PM
1685469,16000075450,201675450,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 09:56:23 PM,27XX BLOCK OF RAINIER AV S,R,R2,9500.4004,-122.29916,47.579674,"(47.579674, -122.29916)",TRU - PROPERTY DESTRUCTION/DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 09:11:18 PM
1685601,16000074927,201674927,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,03/02/2016 09:46:35 PM,97XX BLOCK OF 6 AV NW,J,J1,1702.4002,-122.36339,47.700367,"(47.700367, -122.36339)",SECONDARY - FORGERY/BUNCO/SCAMS/ID THEFT,FRAUD CALLS,FRAUD CALLS,03/02/2016 04:10:35 PM
1685406,16000075563,201675563,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 09:43:23 PM,75XX BLOCK OF 25 AV NE,U,U1,2500.103,-122.30078,47.683952,"(47.683952, -122.30078)",TRESPASS,TRESPASS,TRESPASS,03/02/2016 09:04:06 PM
1685485,16000075427,201675427,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 09:35:34 PM,27XX BLOCK OF RAINIER AV S,R,R2,10001.1002,-122.29916,47.579674,"(47.579674, -122.29916)",TRESPASS,TRESPASS,TRESPASS,03/02/2016 07:01:13 PM
1685410,16000075553,201675553,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/02/2016 09:21:25 PM,115XX BLOCK OF MERIDIAN AV N,N,N2,600.4012,-122.33407,47.7132,"(47.7132, -122.33407)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 08:44:19 PM
1685398,16000075587,201675587,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,03/02/2016 09:20:26 PM,15XX BLOCK OF 4 AV,M,M3,8100.2009,-122.33689,47.61044,"(47.61044, -122.33689)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:17:42 PM
1685396,16000075598,201675598,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 09:19:34 PM,19XX BLOCK OF WESTERN AV,M,M1,8100.3011,-122.34288,47.609814,"(47.609814, -122.34288)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 09:19:34 PM
1685405,16000075564,201675564,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:15:24 PM,26 AV SW / SW ANDOVER ST,W,W1,9900.4064,-122.36543,47.568344,"(47.568344, -122.36543)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:02:35 PM
1685581,16000075157,201675157,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:14:27 PM,14XX BLOCK OF 5 AV,M,M3,8200.1020,-122.33512,47.61018,"(47.61018, -122.33512)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:03:23 PM
1685404,16000075566,201675566,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 09:13:41 PM,86XX BLOCK OF DELRIDGE WY SW,F,F2,11401.2008,-122.36047,47.525593,"(47.525593, -122.36047)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 09:03:16 PM
1685415,16000075545,201675545,171,PARKS EXCLUSION,PARKS EXCLUSIONS,MISCELLANEOUS MISDEMEANORS,03/02/2016 09:11:17 PM,12XX BLOCK OF HARBOR AV SW,W,W1,9600.5002,-122.38238,47.591312,"(47.591312, -122.38238)",PARKS VIOLATIONS/CITES (INCLUDES EXCLUSIONS),TRESPASS,PARKS EXCLUSIONS,03/02/2016 08:30:50 PM
1685515,16000075386,201675386,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 09:10:59 PM,23 AV S / S HANFORD ST,R,R1,10002.3026,-122.30333,47.57508,"(47.57508, -122.30333)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 07:53:28 PM
1685472,16000075446,201675446,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 09:10:28 PM,ALASKAN WY / SENECA ST,M,M1,8100.1014,-122.339775,47.605175,"(47.605175, -122.339775)",TRU - THEFT,OTHER PROPERTY,THEFT,03/02/2016 08:35:58 PM
1685426,16000075522,201675522,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:08:11 PM,8 AV / MADISON ST,E,E3,8200.2006,-122.32847,47.607944,"(47.607944, -122.32847)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 08:44:48 PM
1685428,16000075518,201675518,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:04:57 PM,XX BLOCK OF W BOSTON ST,Q,Q2,6800.2001,-122.3576,47.638382,"(47.638382, -122.3576)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 08:14:14 PM
1685429,16000075516,201675516,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 09:04:42 PM,30 AV S / S JACKSON ST,G,G3,8900.3012,-122.2938,47.599186,"(47.599186, -122.2938)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 08:31:42 PM
1685401,16000075580,201675580,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:04:36 PM,13 AV E / E PROSPECT ST,C,C1,6500.3002,-122.315674,47.628426,"(47.628426, -122.315674)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 09:01:48 PM
